OBJECTID,RoadWidth,sidewalk_width,public_transport,has_utilities,people_flow,tree_density,cluster_id
2512,0.0829202478,0.12964054490000002,0.6666666667000001,1,0.2987486971,0.0138544232,3
2515,0.0858751085,0.1180514649,1.0,1,0.2530703442,0.1069645783,2
2517,0.2631677624,0.1984875271,1.0,1,0.2648249113,0.0,2
2518,0.2625144975,0.2990571597,1.0,1,0.1709881368,0.6724185837000001,2
2520,0.0722637378,0.0,1.0,0,0.44489362590000003,0.0,1
2524,0.062808588,0.19642506480000002,1.0,1,0.0196347327,0.0331222274,2
2526,0.0792787511,0.1013553339,0.6666666667000001,1,0.31633342880000004,0.0,3
2529,0.1637673402,0.1926929906,1.0,1,0.0562636838,0.0225062517,2
2530,0.21366524990000002,0.1145158136,1.0,1,0.25129664620000003,0.155158042,2
2531,0.0802535922,0.0960518559,1.0,1,0.2997784429,0.17361144380000001,2
2533,0.079850105,0.11078373770000001,0.6666666667000001,1,0.2943321178,0.021653524400000002,3
2534,0.1592349358,0.0536240422,1.0,0,0.0155428322,0.096741432,1
2535,0.0824864233,0.0783736012,1.0,1,0.028174052300000002,0.0,2
2536,0.08508532540000001,0.08171282590000001,1.0,1,0.0353459416,0.0,2
2537,0.0614171136,0.11431938700000001,1.0,0,0.4318219515,0.0,1
2540,0.08312654200000001,0.0997839333,1.0,1,0.0718441239,0.0078470073,2
2543,0.2636905765,0.2183264586,1.0,1,0.3670960727,0.0,2
2545,0.0823317026,0.1297387529,1.0,1,0.0655726705,0.0118136264,2
2547,0.2656837423,0.2990571597,1.0,1,0.2524525401,0.047101206300000004,2
2551,0.14467097140000001,0.1007660606,1.0,1,0.1014302297,0.015713177000000002,2
2552,0.0627802731,0.09516794320000001,0.6666666667000001,1,0.3150579982,0.0,3
2553,0.08108685880000001,0.1738361822,1.0,1,0.31525233010000003,0.11814584510000001,2
2554,0.0818483271,0.0822038898,1.0,1,0.231916946,0.0602082954,2
2555,0.0914763999,0.1314083688,0.0,0,0.0,0.0,1
2560,0.0875426531,0.130622667,0.6666666667000001,1,0.0038829084,0.0,3
2562,0.08874401330000001,0.0809271293,1.0,1,0.1682937007,0.0,2
2563,0.0611895832,0.1060695378,1.0,1,0.1555858416,0.0,2
2565,0.0603851371,0.0872127277,1.0,1,0.1615960142,0.0,2
2566,0.0611610661,0.10076606,1.0,1,0.0398240158,0.0,2
2567,0.0864414062,0.0948733043,1.0,1,0.061621807300000005,0.0,2
2571,0.26498800510000003,0.252799057,1.0,1,0.34325008220000003,0.054287110400000005,2
2572,0.0814377612,0.1738361822,1.0,1,0.3334268503,0.0209445152,2
2573,0.0801393214,0.09251620640000001,1.0,1,0.14450615320000001,0.0,2
2576,0.1374102254,0.1838538613,1.0,1,0.10360226980000001,0.0,2
2577,0.0587925258,0.056275781600000005,1.0,1,0.1370444009,0.0,2
2578,0.0806267419,0.1473187979,1.0,1,0.33842645190000004,0.028896915800000002,2
2579,0.0796023498,0.1794342968,1.0,1,0.1016345996,0.1847927106,2
2581,0.08229934280000001,0.1409840892,1.0,1,0.2054942301,0.0127909094,2
